[17:39:21] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:39:21] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:39:21] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:39:21] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:39:21] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:39:25] [Server thread/INFO]: Starting minecraft server version 1.15.2
[17:39:25] [Server thread/INFO]: Loading properties
[17:39:25] [Server thread/INFO]: Default game type: SURVIVAL
[17:39:25] [Server thread/INFO]: Generating keypair
[17:39:27] [Server thread/INFO]: Starting Minecraft server on *:25565
[17:39:27] [Server thread/INFO]: Using default channel type
[17:39:30] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[17:39:30] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[17:39:30] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[17:39:30] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[17:39:30] [Server thread/INFO]: Preparing level "world"
[17:40:19] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:20] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:21] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:21] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:21] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:22] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:23] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:23] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:23] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[17:40:24] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[17:40:25] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[17:40:25] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[17:40:25] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[17:40:26] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[17:40:26] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[17:40:28] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[17:40:28] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[17:40:28] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[17:40:29] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[17:40:29] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[17:40:29] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[17:40:30] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[17:40:30] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[17:40:31] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[17:40:31] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[17:40:32] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[17:40:32] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[17:40:33] [Server-Worker-1/INFO]: Preparing spawn area: 6%
[17:40:33] [Server-Worker-1/INFO]: Preparing spawn area: 7%
[17:40:34] [Server-Worker-1/INFO]: Preparing spawn area: 8%
[17:40:34] [Server-Worker-1/INFO]: Preparing spawn area: 9%
[17:40:35] [Server-Worker-1/INFO]: Preparing spawn area: 9%
[17:40:35] [Server-Worker-1/INFO]: Preparing spawn area: 10%
[17:40:36] [Server-Worker-1/INFO]: Preparing spawn area: 11%
[17:40:36] [Server-Worker-1/INFO]: Preparing spawn area: 12%
[17:40:37] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[17:40:38] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[17:40:38] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[17:40:38] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[17:40:39] [Server-Worker-1/INFO]: Preparing spawn area: 17%
[17:40:40] [Server-Worker-1/INFO]: Preparing spawn area: 17%
[17:40:40] [Server-Worker-1/INFO]: Preparing spawn area: 17%
[17:40:40] [Server-Worker-1/INFO]: Preparing spawn area: 17%
[17:40:41] [Server-Worker-1/INFO]: Preparing spawn area: 18%
[17:40:41] [Server-Worker-1/INFO]: Preparing spawn area: 19%
[17:40:42] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[17:40:42] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[17:40:43] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[17:40:43] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[17:40:44] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[17:40:45] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[17:40:45] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[17:40:45] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[17:40:46] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[17:40:46] [Server-Worker-1/INFO]: Preparing spawn area: 23%
[17:40:47] [Server-Worker-1/INFO]: Preparing spawn area: 24%
[17:40:47] [Server-Worker-1/INFO]: Preparing spawn area: 25%
[17:40:48] [Server-Worker-1/INFO]: Preparing spawn area: 25%
[17:40:49] [Server-Worker-1/INFO]: Preparing spawn area: 25%
[17:40:49] [Server-Worker-1/INFO]: Preparing spawn area: 26%
[17:40:49] [Server-Worker-1/INFO]: Preparing spawn area: 27%
[17:40:50] [Server-Worker-1/INFO]: Preparing spawn area: 28%
[17:40:50] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[17:40:51] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[17:40:51] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[17:40:52] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[17:40:53] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[17:40:53] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[17:40:53] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[17:40:54] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[17:40:55] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[17:40:56] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[17:40:56] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[17:40:56] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[17:40:56] [Server-Worker-1/INFO]: Preparing spawn area: 32%
[17:40:57] [Server-Worker-1/INFO]: Preparing spawn area: 33%
[17:40:58] [Server-Worker-1/INFO]: Preparing spawn area: 33%
[17:40:58] [Server-Worker-1/INFO]: Preparing spawn area: 36%
[17:40:59] [Server-Worker-1/INFO]: Preparing spawn area: 36%
[17:40:59] [Server-Worker-1/INFO]: Preparing spawn area: 38%
[17:40:59] [Server-Worker-1/INFO]: Preparing spawn area: 39%
[17:41:00] [Server-Worker-1/INFO]: Preparing spawn area: 41%
[17:41:01] [Server-Worker-1/INFO]: Preparing spawn area: 42%
[17:41:01] [Server-Worker-1/INFO]: Preparing spawn area: 42%
[17:41:01] [Server-Worker-1/INFO]: Preparing spawn area: 42%
[17:41:03] [Server-Worker-1/INFO]: Preparing spawn area: 42%
[17:41:03] [Server-Worker-1/INFO]: Preparing spawn area: 42%
[17:41:03] [Server-Worker-1/INFO]: Preparing spawn area: 42%
[17:41:04] [Server-Worker-1/INFO]: Preparing spawn area: 42%
[17:41:04] [Server-Worker-1/INFO]: Preparing spawn area: 42%
[17:41:04] [Server-Worker-1/INFO]: Preparing spawn area: 44%
[17:41:05] [Server-Worker-1/INFO]: Preparing spawn area: 46%
[17:41:05] [Server-Worker-1/INFO]: Preparing spawn area: 48%
[17:41:06] [Server-Worker-1/INFO]: Preparing spawn area: 49%
[17:41:06] [Server-Worker-1/INFO]: Preparing spawn area: 50%
[17:41:07] [Server-Worker-1/INFO]: Preparing spawn area: 50%
[17:41:07] [Server-Worker-1/INFO]: Preparing spawn area: 52%
[17:41:08] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[17:41:08] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[17:41:09] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[17:41:10] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[17:41:10] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[17:41:11] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[17:41:11] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[17:41:11] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[17:41:12] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[17:41:13] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[17:41:13] [Server-Worker-1/INFO]: Preparing spawn area: 56%
[17:41:13] [Server-Worker-1/INFO]: Preparing spawn area: 57%
[17:41:14] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[17:41:14] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[17:41:15] [Server-Worker-1/INFO]: Preparing spawn area: 60%
[17:41:15] [Server-Worker-1/INFO]: Preparing spawn area: 60%
[17:41:16] [Server-Worker-1/INFO]: Preparing spawn area: 62%
[17:41:17] [Server-Worker-1/INFO]: Preparing spawn area: 64%
[17:41:17] [Server-Worker-1/INFO]: Preparing spawn area: 65%
[17:41:17] [Server-Worker-1/INFO]: Preparing spawn area: 67%
[17:41:18] [Server-Worker-1/INFO]: Preparing spawn area: 68%
[17:41:18] [Server-Worker-1/INFO]: Preparing spawn area: 68%
[17:41:19] [Server-Worker-1/INFO]: Preparing spawn area: 69%
[17:41:19] [Server-Worker-1/INFO]: Preparing spawn area: 69%
[17:41:20] [Server-Worker-1/INFO]: Preparing spawn area: 69%
[17:41:20] [Server-Worker-1/INFO]: Preparing spawn area: 69%
[17:41:21] [Server-Worker-1/INFO]: Preparing spawn area: 71%
[17:41:22] [Server-Worker-1/INFO]: Preparing spawn area: 71%
[17:41:22] [Server-Worker-1/INFO]: Preparing spawn area: 75%
[17:41:22] [Server-Worker-1/INFO]: Preparing spawn area: 75%
[17:41:23] [Server-Worker-1/INFO]: Preparing spawn area: 76%
[17:41:23] [Server-Worker-1/INFO]: Preparing spawn area: 76%
[17:41:24] [Server-Worker-1/INFO]: Preparing spawn area: 78%
[17:41:25] [Server-Worker-1/INFO]: Preparing spawn area: 78%
[17:41:25] [Server-Worker-1/INFO]: Preparing spawn area: 78%
[17:41:25] [Server-Worker-1/INFO]: Preparing spawn area: 78%
[17:41:26] [Server-Worker-1/INFO]: Preparing spawn area: 83%
[17:41:26] [Server-Worker-1/INFO]: Preparing spawn area: 83%
[17:41:27] [Server-Worker-1/INFO]: Preparing spawn area: 83%
[17:41:27] [Server-Worker-1/INFO]: Preparing spawn area: 83%
[17:41:28] [Server-Worker-1/INFO]: Preparing spawn area: 85%
[17:41:29] [Server-Worker-1/INFO]: Preparing spawn area: 86%
[17:41:29] [Server-Worker-1/INFO]: Preparing spawn area: 89%
[17:41:29] [Server-Worker-1/INFO]: Preparing spawn area: 90%
[17:41:33] [Server-Worker-1/INFO]: Preparing spawn area: 90%
[17:41:34] [Server-Worker-1/INFO]: Preparing spawn area: 90%
[17:41:34] [Server-Worker-1/INFO]: Preparing spawn area: 90%
[17:41:34] [Server-Worker-1/INFO]: Preparing spawn area: 90%
[17:41:34] [Server-Worker-1/INFO]: Preparing spawn area: 90%
[17:41:34] [Server-Worker-1/INFO]: Preparing spawn area: 90%
[17:41:34] [Server-Worker-1/INFO]: Preparing spawn area: 90%
[17:41:34] [Server-Worker-1/INFO]: Preparing spawn area: 90%
[17:41:34] [Server-Worker-1/INFO]: Preparing spawn area: 91%
[17:41:34] [Server-Worker-1/INFO]: Preparing spawn area: 93%
[17:41:35] [Server-Worker-1/INFO]: Preparing spawn area: 95%
[17:41:35] [Server-Worker-1/INFO]: Preparing spawn area: 97%
[17:41:36] [Server-Worker-1/INFO]: Preparing spawn area: 98%
[17:41:37] [Server thread/INFO]: Time elapsed: 90494 ms
[17:41:40] [Server thread/INFO]: Done (126.659s)! For help, type "help"
[17:41:43] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2827ms or 56 ticks behind
[17:41:53] [Server thread/INFO]: Stopping server
